#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
DRR022205,NODE_29_length_48513_cov_133.708936,17570,17986,-,IncA/C2_1,1-417/417,===============,0/0,100.00,100.00,plasmidfinder,JN157804,IncA/C2_1__JN157804,
DRR107055,NODE_29_length_40930_cov_95.427670,910,1170,+,IncFII_1,1-261/261,===============,0/0,100.00,100.00,plasmidfinder,AY458016,IncFII_1__AY458016,
DRR236404,NODE_41_length_5278_cov_59.031502,3811,4153,+,IncX3_1,37-374/374,.=======/======,4/5,90.37,80.17,plasmidfinder,JN247852,IncX3_1__JN247852,
DRR236404,NODE_41_length_5278_cov_59.031502,4800,5173,+,IncX1_1,1-374/374,===============,0/0,100.00,98.66,plasmidfinder,EU370913,IncX1_1__EU370913,
DRR236406,NODE_40_length_5278_cov_49.942434,3811,4153,+,IncX3_1,37-374/374,.=======/======,4/5,90.37,80.17,plasmidfinder,JN247852,IncX3_1__JN247852,
DRR236406,NODE_40_length_5278_cov_49.942434,4800,5173,+,IncX1_1,1-374/374,===============,0/0,100.00,98.66,plasmidfinder,EU370913,IncX1_1__EU370913,
DRR236412,NODE_41_length_5278_cov_92.729421,106,479,-,IncX1_1,1-374/374,===============,0/0,100.00,98.66,plasmidfinder,EU370913,IncX1_1__EU370913,
DRR236412,NODE_41_length_5278_cov_92.729421,1126,1468,-,IncX3_1,37-374/374,.=======/======,4/5,90.37,80.17,plasmidfinder,JN247852,IncX3_1__JN247852,
DRR236413,NODE_44_length_5278_cov_68.386649,3811,4153,+,IncX3_1,37-374/374,.=======/======,4/5,90.37,80.17,plasmidfinder,JN247852,IncX3_1__JN247852,
DRR236413,NODE_44_length_5278_cov_68.386649,4800,5173,+,IncX1_1,1-374/374,===============,0/0,100.00,98.66,plasmidfinder,EU370913,IncX1_1__EU370913,
DRR236415,NODE_43_length_5278_cov_45.531221,3811,4153,+,IncX3_1,37-374/374,.=======/======,4/5,90.37,80.17,plasmidfinder,JN247852,IncX3_1__JN247852,
DRR236415,NODE_43_length_5278_cov_45.531221,4800,5173,+,IncX1_1,1-374/374,===============,0/0,100.00,98.66,plasmidfinder,EU370913,IncX1_1__EU370913,
DRR236418,NODE_30_length_42737_cov_181.212127,33075,33451,+,IncX1_4,1-377/377,===============,0/0,100.00,95.76,plasmidfinder,JN935898,IncX1_4__JN935898,
DRR236423,NODE_44_length_5278_cov_35.024002,3811,4153,+,IncX3_1,37-374/374,.=======/======,4/5,90.37,80.17,plasmidfinder,JN247852,IncX3_1__JN247852,
DRR236423,NODE_44_length_5278_cov_35.024002,4800,5173,+,IncX1_1,1-374/374,===============,0/0,100.00,98.66,plasmidfinder,EU370913,IncX1_1__EU370913,
DRR236437,NODE_20_length_57965_cov_24.109574,56774,57034,-,IncFII_1,1-261/261,===============,0/0,100.00,100.00,plasmidfinder,AY458016,IncFII_1__AY458016,
DRR236447,NODE_28_length_42737_cov_118.316105,9287,9663,-,IncX1_4,1-377/377,===============,0/0,100.00,95.76,plasmidfinder,JN935898,IncX1_4__JN935898,
