FILE,SCHEME,ST,aroC,dnaN,hemD,hisD,purE,sucA,thrA
DRR107042,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR107043,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR107045,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR107048,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR107049,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR107050,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR107058,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR107059,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236393,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236394,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236395,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236396,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236397,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236398,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236399,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236400,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236401,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236402,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236403,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236405,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236407,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236408,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236411,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236414,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236416,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236419,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236420,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236421,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236422,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236424,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236425,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236426,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236427,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236428,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236429,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236430,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236431,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236432,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236433,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236434,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236435,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236436,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236438,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236439,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236440,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236441,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236442,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236443,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236444,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236445,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236448,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236449,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236450,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236452,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236453,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236454,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236456,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236457,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236458,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236459,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236460,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236463,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236464,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236466,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236467,senterica_achtman_2,34,10,19,12,9,5,9,2
